Имя,Фамилия,Год рождения,Рост,Вес
David,Miller,2012,1.88116,80.5918
David,Miller,2013,1.94144,97.5954
David,Miller,2015,1.54435,61.4979
David,Miller,2017,2.14589,93.4952
David,Miller,2019,2.19237,53.3249
David,Moore,1956,1.55964,52.5823
David,Moore,1957,1.51263,108.181
David,Moore,1961,1.53638,58.4323
David,Moore,1963,2.15308,86.5126
David,Moore,1970,1.72192,60.7696
David,Moore,1971,1.74147,90.9389
David,Moore,1971,2.13248,51.9538
David,Moore,1972,1.51212,112.443
David,Moore,1972,1.77533,105.168
David,Moore,1973,2.18781,82.9424
David,Moore,1975,1.63962,115.647
David,Moore,1976,1.64145,110.313
David,Moore,1976,2.12891,71.2381
David,Moore,1979,1.626,117.056
David,Moore,1979,2.11478,90.7353
David,Moore,1982,2.00111,86.4912
David,Moore,1985,2.07299,106.338
David,Moore,1989,1.72185,102.112
David,Moore,1989,2.17999,56.5549
David,Moore,1990,1.80524,97.1624
David,Moore,1992,1.74196,54.0392
David,Moore,1993,2.15088,97.7028
David,Moore,1994,1.75467,102.384
David,Moore,1995,1.77207,94.2539
David,Moore,1997,2.00563,72.662
David,Moore,1998,1.70773,68.1529
David,Moore,1999,1.97739,74.6662
David,Moore,2004,1.55717,61.7491
David,Moore,2005,1.67341,74.7378
David,Moore,2014,2.10293,58.2829
David,Moore,2015,1.63816,58.6036
David,Moore,2017,1.71152,94.8183
David,Moore,2017,1.72122,86.4722
David,Moore,2017,2.19402,80.466
David,Moore,2020,2.12016,93.6673
David,Moore,2022,1.66177,71.0932
David,Moore,2023,2.03661,86.0995
David,Roslovtsev,1950,1.92945,91.8516
David,Roslovtsev,1951,1.5903,87.1363
David,Roslovtsev,1951,1.7237,105.57
David,Roslovtsev,1951,1.96315,92.646
David,Roslovtsev,1952,1.85208,111.398
David,Roslovtsev,1953,1.83952,55.7468
David,Roslovtsev,1955,1.60126,85.3263
David,Roslovtsev,1961,1.96954,83.9818
David,Roslovtsev,1962,2.0215,66.2124
David,Roslovtsev,1965,1.70826,110.937
David,Roslovtsev,1965,1.89416,98.5829
David,Roslovtsev,1968,1.85919,86.2729
David,Roslovtsev,1968,1.86965,91.3182
David,Roslovtsev,1970,1.80594,107.458
David,Roslovtsev,1971,1.67105,95.4466
David,Roslovtsev,1971,1.96312,110.84
David,Roslovtsev,1973,2.03402,104.195
David,Roslovtsev,1974,2.02561,106.543
David,Roslovtsev,1978,1.60746,54.5955
David,Roslovtsev,1978,1.85559,94.5604
David,Roslovtsev,1979,1.74646,108.265
David,Roslovtsev,1982,1.7367,94.955
David,Roslovtsev,1982,1.98904,65.2862
David,Roslovtsev,1983,1.6615,71.5173
David,Roslovtsev,1983,1.85497,100.494
David,Roslovtsev,1984,2.15449,57.2696
David,Roslovtsev,1986,1.98495,100.418
David,Roslovtsev,1986,2.01287,67.0023
David,Roslovtsev,1987,2.14941,86.4794
David,Roslovtsev,1990,1.52877,92.5062
David,Roslovtsev,1992,1.93561,97.9397
David,Roslovtsev,1992,1.97368,80.155
David,Roslovtsev,1993,1.9182,72.6103
David,Roslovtsev,1994,2.05959,60.8248
David,Roslovtsev,1997,1.60869,78.264
David,Roslovtsev,1998,2.03456,78.0835
David,Roslovtsev,2002,1.54013,86.0921
David,Roslovtsev,2004,1.76585,116.094
David,Roslovtsev,2006,1.53031,106.489
David,Roslovtsev,2007,1.93506,63.0455
David,Roslovtsev,2008,1.85352,109.981
David,Roslovtsev,2012,1.67103,90.8367
David,Roslovtsev,2015,2.14843,96.8157
David,Roslovtsev,2016,2.05922,61.1403
David,Roslovtsev,2018,1.91329,85.511
David,Roslovtsev,2019,2.17336,107.746
David,Roslovtsev,2020,2.03897,65.7769
David,Roslovtsev,2023,1.84112,104.441
David,Smith,1952,1.87685,107.602
David,Smith,1953,1.8978,104.498
David,Smith,1954,1.66002,92.8897
David,Smith,1956,1.69102,109.735
David,Smith,1958,1.93067,113.914
David,Smith,1959,1.55575,103.756
David,Smith,1959,1.65268,115.481
David,Smith,1959,1.72795,95.5952
David,Smith,1961,1.87729,84.8062
David,Smith,1963,1.60121,67.2025
David,Smith,1966,1.96511,54.4252
David,Smith,1969,1.51321,62.821
David,Smith,1969,2.01516,107.654
David,Smith,1970,1.79889,83.5026
David,Smith,1972,2.10133,100.804
David,Smith,1973,1.73987,102.468
David,Smith,1973,1.86428,61.0524
David,Smith,1974,1.77295,83.4921
David,Smith,1974,1.86918,64.5237
David,Smith,1975,1.84384,60.6931
David,Smith,1977,2.04564,113.404
David,Smith,1977,2.07851,82.8708
David,Smith,1978,1.95876,65.6384
David,Smith,1978,2.14582,89.0296
David,Smith,1979,2.17924,110.241
David,Smith,1981,1.97288,91.3503
David,Smith,1983,2.0772,108.498
David,Smith,1985,1.95089,62.9775
David,Smith,1985,2.16551,62.5765
David,Smith,1985,2.17128,65.568
David,Smith,1986,1.95656,58.4911
David,Smith,1991,1.97179,70.0014
David,Smith,1992,1.93859,56.4682
David,Smith,1995,2.01927,118.909
David,Smith,1998,2.13616,59.7755
David,Smith,2001,1.74148,107.714
David,Smith,2005,1.63368,94.947
David,Smith,2005,1.66588,84.1996
David,Smith,2007,2.06334,70.5821
David,Smith,2009,2.12127,64.6775
David,Smith,2012,2.09737,95.9371
David,Smith,2013,1.54659,62.0278
David,Smith,2015,1.97811,104.651
David,Smith,2016,1.53281,100.792
David,Smith,2016,2.0696,74.2286
David,Smith,2020,1.92016,79.7938
David,Smith,2022,1.93073,73.0826
David,Smith,2023,1.50066,67.0729
David,Taylor,1951,1.85117,50.1576
David,Taylor,1956,1.74339,89.9425
David,Taylor,1963,2.16861,83.7743
David,Taylor,1964,1.6067,57.6983
David,Taylor,1966,2.04653,70.256
David,Taylor,1970,1.85714,84.8439
David,Taylor,1972,1.73676,99.6927
David,Taylor,1972,1.88066,87.6708
David,Taylor,1973,1.59284,93.2069
David,Taylor,1975,1.98015,81.4841
David,Taylor,1976,2.16313,51.4797
David,Taylor,1979,1.61447,85.3616
David,Taylor,1980,1.66904,60.4986
David,Taylor,1981,2.06224,99.3716
David,Taylor,1985,1.54697,111.038
David,Taylor,1985,1.66847,66.3787
David,Taylor,1989,1.99426,98.4319
David,Taylor,1990,2.12693,99.9659
David,Taylor,1991,2.15592,79.388
David,Taylor,1992,2.06254,93.1052
David,Taylor,1993,1.53708,108.431
David,Taylor,1994,1.62991,108.114
David,Taylor,1995,1.55668,83.1822
David,Taylor,1997,2.0682,55.8489
David,Taylor,1997,2.10877,78.5534
David,Taylor,2002,1.61418,103.271
David,Taylor,2004,1.55839,84.7552
David,Taylor,2005,1.53723,77.4744
David,Taylor,2006,2.10652,113.958
David,Taylor,2007,1.74236,60.8356
David,Taylor,2008,1.86864,119.677
David,Taylor,2009,1.76788,72.6945
David,Taylor,2010,1.61523,102.318
David,Taylor,2015,1.99134,76.882
David,Taylor,2016,1.75304,117.662
David,Taylor,2018,1.79213,62.8879
David,Taylor,2019,1.50843,59.8864
David,Taylor,2020,1.99612,51.7612
David,Taylor,2021,1.77764,79.9787
David,Taylor,2021,1.88376,80.8758
David,Taylor,2023,2.16603,106.683
David,Williams,1950,1.93223,104.607
David,Williams,1953,1.63643,54.4628
David,Williams,1956,1.66426,87.2905
David,Williams,1956,2.00431,65.91
David,Williams,1956,2.1421,65.4633
David,Williams,1959,1.89775,118.909
David,Williams,1960,1.92467,105.444
David,Williams,1962,1.68738,65.269
David,Williams,1962,2.15266,67.1505
David,Williams,1963,2.0158,77.66
David,Williams,1965,1.82393,55.7008
David,Williams,1967,1.70347,112.634
David,Williams,1969,1.55456,62.7739
David,Williams,1970,1.54476,86.9327
David,Williams,1972,2.14586,103.564
David,Williams,1973,1.5209,64.0865
David,Williams,1975,1.64133,114.892
David,Williams,1978,1.51423,66.224
David,Williams,1981,1.98994,67.1621
David,Williams,1984,1.91967,119.829
David,Williams,1986,1.61581,78.9665
David,Williams,1986,1.63475,54.8126
David,Williams,1986,1.85957,99.5992
David,Williams,1989,1.88993,66.4274
David,Williams,1990,1.6283,101.448
David,Williams,1991,1.98007,76.627
David,Williams,1992,1.95491,92.542
David,Williams,1993,2.0678,96.6519
David,Williams,1994,1.82318,74.7792
David,Williams,1998,2.10481,68.6695
David,Williams,2000,1.86104,86.462
David,Williams,2002,1.91137,116.017
David,Williams,2003,2.00055,91.3845
David,Williams,2004,1.92772,85.22
David,Williams,2005,1.80289,91.8827
David,Williams,2006,1.90062,66.349
David,Williams,2006,1.99168,92.0009
David,Williams,2009,2.07258,51.369
David,Williams,2013,2.03708,58.2697
David,Williams,2014,1.80669,80.4321
David,Williams,2021,1.60673,60.2563
David,Wilson,1950,1.90062,66.1673
David,Wilson,1962,1.51293,56.9737
David,Wilson,1968,1.78104,61.6053
David,Wilson,1968,2.04498,96.7883
David,Wilson,1972,2.14471,106.357
David,Wilson,1975,2.17554,56.4515
David,Wilson,1976,1.55538,106.677
David,Wilson,1977,2.14355,110
David,Wilson,1979,1.71613,64.8257
David,Wilson,1980,1.58478,63.839
David,Wilson,1981,1.97193,61.2807
David,Wilson,1981,2.15819,116.846
David,Wilson,1982,1.51803,53.7698
David,Wilson,1982,1.84701,68.2403
David,Wilson,1983,1.89083,100.858
David,Wilson,1985,2.06035,116.897
David,Wilson,1987,1.59373,116.276
David,Wilson,1989,2.16138,73.3761
David,Wilson,1992,1.88587,81.9483
David,Wilson,1994,1.75613,76.2572
David,Wilson,1995,1.74382,62.6878
David,Wilson,1995,2.06792,61.3434
David,Wilson,1999,1.80798,89.2915
David,Wilson,2001,1.57303,100.013
David,Wilson,2003,2.18378,116.383
David,Wilson,2004,1.92831,70.3924
David,Wilson,2005,1.90121,63.0792
David,Wilson,2006,1.95862,109.296
David,Wilson,2008,1.63537,54.7732
David,Wilson,2012,1.57805,60.7807
David,Wilson,2012,1.85684,63.9565
David,Wilson,2012,2.11373,110.112
David,Wilson,2018,2.06809,109.456
David,Wilson,2020,1.53535,97.1567
David,Wilson,2022,1.9722,64.536
Elizabeth,Brown,1951,1.5189,104.248
Elizabeth,Brown,1954,2.1666,84.7434
Elizabeth,Brown,1955,2.02027,75.8823
Elizabeth,Brown,1958,2.00159,111.513
Elizabeth,Brown,1962,2.03067,62.1909
Elizabeth,Brown,1963,1.51903,65.1205
Elizabeth,Brown,1965,1.59473,102.711
Elizabeth,Brown,1971,1.63265,105.913
Elizabeth,Brown,1974,1.55572,89.5608
Elizabeth,Brown,1976,1.81139,62.8015
Elizabeth,Brown,1978,1.5488,86.5415
Elizabeth,Brown,1980,1.75812,106.109
Elizabeth,Brown,1981,1.59238,75.218
Elizabeth,Brown,1983,1.80984,76.192
Elizabeth,Brown,1983,1.85181,61.1859
Elizabeth,Brown,1986,1.80219,108.163
Elizabeth,Brown,1990,2.12804,77.4523
Elizabeth,Brown,1996,2.03067,85.803
Elizabeth,Brown,2005,2.12928,98.8277
Elizabeth,Brown,2008,1.97629,76.5621
Elizabeth,Brown,2011,1.88287,84.9187
Elizabeth,Brown,2011,1.89491,90.1487
Elizabeth,Brown,2013,1.59607,106.877
Elizabeth,Brown,2014,1.78134,78.8312
Elizabeth,Brown,2014,2.0526,60.3009
Elizabeth,Brown,2015,2.02956,119.377
Elizabeth,Brown,2020,1.92259,73.9761
Elizabeth,Brown,2021,2.08521,55.3693
Elizabeth,Brown,2023,1.81455,99.8076
Elizabeth,Davis,1950,1.90823,112.311
Elizabeth,Davis,1950,2.16431,115.252
Elizabeth,Davis,1954,1.53314,59.8768
Elizabeth,Davis,1957,2.08323,96.9441
Elizabeth,Davis,1959,1.91635,83.9445
Elizabeth,Davis,1959,2.07108,97.0085
Elizabeth,Davis,1960,1.72296,113.555
Elizabeth,Davis,1962,1.85636,79.783
Elizabeth,Davis,1963,1.63082,77.3521
Elizabeth,Davis,1964,1.91949,59.5897
Elizabeth,Davis,1964,1.94986,75.5593
Elizabeth,Davis,1966,1.91208,109.308
Elizabeth,Davis,1968,1.61734,98.6756
Elizabeth,Davis,1969,1.88715,101.091
Elizabeth,Davis,1969,2.147,111.715
Elizabeth,Davis,1971,2.07699,66.0927
Elizabeth,Davis,1972,1.91725,103.169
Elizabeth,Davis,1972,1.96243,119.326
Elizabeth,Davis,1975,1.65854,115.801
Elizabeth,Davis,1976,2.03607,71.4047
Elizabeth,Davis,1977,1.88444,78.363
Elizabeth,Davis,1981,1.53319,108.455
Elizabeth,Davis,1984,1.71761,115.719
Elizabeth,Davis,1986,1.50714,55.7321
Elizabeth,Davis,1987,1.73525,79.2541
Elizabeth,Davis,1988,1.92651,67.246
Elizabeth,Davis,1988,2.13174,50.1396
Elizabeth,Davis,1988,2.18938,99.8098
Elizabeth,Davis,1994,1.74307,84.6258
Elizabeth,Davis,1995,1.58628,88.1269
Elizabeth,Davis,1997,2.19861,114.383
Elizabeth,Davis,2001,2.16704,69.1982
Elizabeth,Davis,2002,1.57696,113.975
Elizabeth,Davis,2007,1.99412,92.1588
Elizabeth,Davis,2008,1.69508,56.1568
Elizabeth,Davis,2012,1.66056,71.8038
Elizabeth,Davis,2012,1.74595,81.8678
Elizabeth,Davis,2014,1.69683,98.7135
Elizabeth,Davis,2016,1.73534,63.5614
Elizabeth,Davis,2016,2.0365,113.479
Elizabeth,Davis,2022,1.5291,68.0799
Elizabeth,Davis,2022,1.87932,89.6667
Elizabeth,Davis,2022,1.89619,70.9936
Elizabeth,Davis,2023,1.98404,59.3219
Elizabeth,Johnson,1950,1.90808,110.765
Elizabeth,Johnson,1951,1.68947,103.959
Elizabeth,Johnson,1951,1.913,60.8729
Elizabeth,Johnson,1951,1.97932,75.7283
Elizabeth,Johnson,1951,2.19744,74.448
Elizabeth,Johnson,1957,1.94017,80.5869
Elizabeth,Johnson,1961,1.7451,90.5162
Elizabeth,Johnson,1966,1.52584,103.759
Elizabeth,Johnson,1966,2.09529,58.5416
Elizabeth,Johnson,1967,1.62409,82.6432
Elizabeth,Johnson,1967,1.89815,67.523
Elizabeth,Johnson,1969,1.89944,68.6858
Elizabeth,Johnson,1970,1.86309,103.515
Elizabeth,Johnson,1971,1.8019,82.001
Elizabeth,Johnson,1972,1.54434,70.1247
Elizabeth,Johnson,1973,1.91449,75.2003
Elizabeth,Johnson,1974,1.61851,113.075
Elizabeth,Johnson,1975,1.60791,115.532
Elizabeth,Johnson,1975,1.88284,55.4592
Elizabeth,Johnson,1978,1.79235,83.2714
Elizabeth,Johnson,1979,1.72926,89.8559
Elizabeth,Johnson,1979,1.91711,60.6092
Elizabeth,Johnson,1979,2.04489,77.3556
Elizabeth,Johnson,1983,1.86794,89.0754
Elizabeth,Johnson,1983,2.10568,114.517
Elizabeth,Johnson,1983,2.13067,88.2477
Elizabeth,Johnson,1986,1.97892,65.1212
Elizabeth,Johnson,1990,1.60208,102.902
Elizabeth,Johnson,1993,2.07742,108.412
Elizabeth,Johnson,2000,1.8152,114.169
Elizabeth,Johnson,2001,2.11963,110.609
Elizabeth,Johnson,2002,1.63292,106.629
Elizabeth,Johnson,2004,1.75175,68.8002
Elizabeth,Johnson,2005,2.11368,109.604
Elizabeth,Johnson,2006,2.17101,101.36
Elizabeth,Johnson,2007,1.65053,114.733
Elizabeth,Johnson,2008,1.55581,116.863
Elizabeth,Johnson,2009,1.51246,65.8268
Elizabeth,Johnson,2010,2.13259,74.8408
Elizabeth,Johnson,2011,1.9595,89.2711
Elizabeth,Johnson,2012,2.16696,76.023
Elizabeth,Johnson,2015,2.15022,113.79
Elizabeth,Johnson,2017,1.55823,67.8357
Elizabeth,Johnson,2017,1.71436,119.098
Elizabeth,Johnson,2018,2.13868,56.0458
Elizabeth,Johnson,2021,1.52006,57.3565
Elizabeth,Johnson,2021,1.75166,94.3642
Elizabeth,Johnson,2022,1.96574,62.9649
Elizabeth,Johnson,2022,2.03756,97.3887
Elizabeth,Johnson,2023,1.8084,87.1937
Elizabeth,Johnson,2023,2.00423,51.2112
Elizabeth,Jones,1950,1.66516,73.5918
Elizabeth,Jones,1951,1.99215,102.55
Elizabeth,Jones,1951,2.19769,110.326
Elizabeth,Jones,1955,1.78598,111.466
Elizabeth,Jones,1955,1.98206,55.4382
Elizabeth,Jones,1961,2.17867,90.2293
Elizabeth,Jones,1966,2.03812,69.0868
Elizabeth,Jones,1969,1.63394,77.0847
Elizabeth,Jones,1969,2.16618,105.794
Elizabeth,Jones,1972,1.58766,69.2038
Elizabeth,Jones,1977,1.5748,78.2199
Elizabeth,Jones,1978,1.78206,76.4106
Elizabeth,Jones,1981,1.68045,106.069
Elizabeth,Jones,1981,1.95927,81.2679
Elizabeth,Jones,1983,1.95077,57.5232
Elizabeth,Jones,1985,1.92656,91.1205
Elizabeth,Jones,1987,1.68853,60.5461
Elizabeth,Jones,1988,1.75565,91.9113
Elizabeth,Jones,1988,1.81711,98.8218
Elizabeth,Jones,1989,1.72096,84.1867
Elizabeth,Jones,1992,1.58869,63.2552
Elizabeth,Jones,1996,1.55032,92.7548
Elizabeth,Jones,2002,1.61508,65.7808
Elizabeth,Jones,2003,2.11085,79.1671
Elizabeth,Jones,2005,1.5979,116.367
Elizabeth,Jones,2005,1.62205,65.2176
Elizabeth,Jones,2005,1.86096,61.0804
Elizabeth,Jones,2005,1.92218,70.6903
Elizabeth,Jones,2005,2.19197,65.3054
Elizabeth,Jones,2006,1.78546,118.452
Elizabeth,Jones,2009,1.50044,97.8307
Elizabeth,Jones,2013,1.77609,83.8472
Elizabeth,Jones,2014,2.01805,80.0419
Elizabeth,Jones,2018,1.86925,73.3248
Elizabeth,Jones,2019,1.51785,88.477
Elizabeth,Jones,2021,1.79848,114.95
Elizabeth,Jones,2021,1.82195,85.7095
Elizabeth,Jones,2022,1.6871,66.204
Elizabeth,Jones,2023,1.89966,65.396
Elizabeth,Jones,2023,2.03561,55.8937
Elizabeth,Miller,1950,1.76707,96.7908
Elizabeth,Miller,1950,1.96193,81.2521
Elizabeth,Miller,1956,1.92583,56.0412
Elizabeth,Miller,1963,1.5134,63.1154
Elizabeth,Miller,1964,1.67532,90.42
Elizabeth,Miller,1968,2.16227,96.0903
Elizabeth,Miller,1971,1.62111,54.4123
Elizabeth,Miller,1971,1.8855,52.4443
Elizabeth,Miller,1972,1.85891,88.8109
Elizabeth,Miller,1972,1.88695,88.8048
Elizabeth,Miller,1974,2.11983,93.9162
Elizabeth,Miller,1975,1.50455,69.5766
Elizabeth,Miller,1978,1.70178,59.2597
Elizabeth,Miller,1981,1.88879,87.8808
Elizabeth,Miller,1982,1.8796,53.6187
Elizabeth,Miller,1982,1.94691,97.8044
Elizabeth,Miller,1987,1.51599,59.3758
Elizabeth,Miller,1990,1.56438,55.0131
Elizabeth,Miller,1990,2.09227,76.8194
Elizabeth,Miller,1994,1.62497,100.538
Elizabeth,Miller,1995,1.92742,62.4835
Elizabeth,Miller,1997,1.63499,73.5555
Elizabeth,Miller,2006,1.92261,97.5642
Elizabeth,Miller,2011,1.75433,90.9744
Elizabeth,Miller,2014,2.19309,103.66
Elizabeth,Miller,2015,1.76095,56.9492
Elizabeth,Miller,2018,2.01063,91.4842
Elizabeth,Miller,2019,1.60318,79.8337
Elizabeth,Miller,2019,1.63441,62.1897
Elizabeth,Miller,2022,2.1987,63.5924
Elizabeth,Miller,2023,2.10625,111.321
Elizabeth,Moore,1950,1.70715,68.1201
Elizabeth,Moore,1952,1.77041,113.756
Elizabeth,Moore,1955,1.5229,55.7472
Elizabeth,Moore,1957,2.06775,54.4333
Elizabeth,Moore,1957,2.15574,63.7765
Elizabeth,Moore,1959,1.89817,110.088
Elizabeth,Moore,1963,1.74218,50.2189
Elizabeth,Moore,1963,1.88647,103.098
Elizabeth,Moore,1964,1.60363,119.394
Elizabeth,Moore,1965,1.86391,72.4681
Elizabeth,Moore,1968,1.95734,107.088
Elizabeth,Moore,1968,1.98302,84.8458
Elizabeth,Moore,1968,2.09783,107.117
Elizabeth,Moore,1970,1.79947,79.3691
Elizabeth,Moore,1970,2.11193,78.3059
Elizabeth,Moore,1970,2.18238,54.3189
Elizabeth,Moore,1974,1.80863,109.9
Elizabeth,Moore,1975,1.9526,59.9389
Elizabeth,Moore,1976,1.95384,52.099
Elizabeth,Moore,1977,1.54869,91.2132
Elizabeth,Moore,1977,1.57354,114.037
Elizabeth,Moore,1982,1.61306,50.604
